date,product,category,quantity,unit_price,unit_cost
2026-06-13,Keyboard,Electronics,1,47.17,21.44
2026-02-05,Keyboard,Electronics,2,45.81,20.97
2026-01-24,Water Bottle,Home,4,20.02,7.62
2026-02-20,Headphones,Electronics,7,66.09,38.34
2026-07-27,Wireless Mouse,Electronics,3,25.99,11.81
2026-02-09,Water Bottle,Home,6,18.41,7.9
2026-04-02,Notebook,Stationery,5,8.49,3.07
2026-05-18,Keyboard,Electronics,7,41.21,21.54
2026-06-10,Coffee Mug,Home,6,14.22,6.12
2026-01-12,Water Bottle,Home,5,21.94,8.28
2026-08-10,Keyboard,Electronics,7,43.0,22.3
2026-04-04,USB-C Cable,Accessories,6,14.57,5.09
2026-06-29,Keyboard,Electronics,3,45.31,21.44
2026-04-29,Backpack,Bags,5,60.38,28.39
2026-05-23,Water Bottle,Home,6,21.37,8.22
2026-02-28,Wireless Mouse,Electronics,6,24.51,11.48
2026-08-22,Coffee Mug,Home,6,13.2,6.0
2026-08-15,Phone Stand,Accessories,3,17.15,6.82
2026-05-24,Headphones,Electronics,5,73.46,37.73
2026-05-30,Backpack,Bags,6,51.91,29.39
2026-05-11,Phone Stand,Accessories,2,18.92,7.25
2026-02-09,USB-C Cable,Accessories,7,15.29,4.94
2026-06-02,Phone Stand,Accessories,5,19.7,7.25
2026-01-03,Keyboard,Electronics,5,47.42,21.65
2026-03-17,Backpack,Bags,3,54.49,29.27
2026-08-13,Desk Lamp,Home,3,35.05,16.33
2026-06-10,Desk Lamp,Home,4,32.57,17.45
2026-05-19,Headphones,Electronics,1,71.39,37.96
2026-01-29,Notebook,Stationery,5,7.58,2.92
2026-05-26,Keyboard,Electronics,2,47.09,22.7
2026-07-14,Headphones,Electronics,3,64.8,37.91
2026-05-21,USB-C Cable,Accessories,5,15.08,5.05
2026-02-24,Headphones,Electronics,4,72.98,37.62
2026-06-21,Notebook,Stationery,8,8.64,2.99
2026-03-05,Water Bottle,Home,2,19.35,8.07
2026-02-28,Coffee Mug,Home,4,12.62,6.12
2026-01-16,Water Bottle,Home,2,21.62,8.29
2026-01-19,Headphones,Electronics,4,66.9,37.94
2026-05-19,USB-C Cable,Accessories,8,14.23,4.99
2026-04-15,Water Bottle,Home,2,18.39,7.94
2026-04-19,Backpack,Bags,8,59.0,26.75
2026-06-17,Keyboard,Electronics,1,44.12,21.65
2026-08-09,Keyboard,Electronics,4,42.22,22.08
2026-02-05,Backpack,Bags,3,52.56,27.3
2026-08-25,Keyboard,Electronics,8,47.77,22.78
2026-01-26,Wireless Mouse,Electronics,1,27.34,12.51
2026-08-06,Water Bottle,Home,3,19.63,7.99
2026-08-10,Backpack,Bags,1,51.31,26.61
2026-04-10,Desk Lamp,Home,8,33.5,17.33
2026-07-07,Headphones,Electronics,8,65.17,37.23
2026-01-15,Coffee Mug,Home,1,14.69,5.73
2026-05-30,Phone Stand,Accessories,3,16.4,7.01
2026-08-06,USB-C Cable,Accessories,2,15.29,5.09
2026-03-02,Backpack,Bags,2,59.86,28.2
2026-05-29,Coffee Mug,Home,1,14.33,5.95
2026-05-30,Coffee Mug,Home,6,15.22,5.82
2026-07-03,Notebook,Stationery,4,7.62,2.89
2026-06-15,Desk Lamp,Home,8,33.71,17.43
2026-01-19,Wireless Mouse,Electronics,8,25.61,12.08
2026-01-26,Keyboard,Electronics,4,45.05,21.19
2026-03-31,Keyboard,Electronics,4,43.83,21.25
2026-08-02,Headphones,Electronics,5,71.56,39.85
2026-06-17,Headphones,Electronics,1,72.35,38.21
2026-08-27,Keyboard,Electronics,3,42.88,22.86
2026-07-10,Headphones,Electronics,3,66.81,38.4
2026-07-03,Notebook,Stationery,4,8.3,3.11
2026-05-10,Phone Stand,Accessories,5,19.46,7.24
2026-01-24,Backpack,Bags,5,49.98,27.53
2026-02-03,Desk Lamp,Home,3,36.69,17.09
2026-04-20,Headphones,Electronics,1,64.57,39.69
2026-06-26,USB-C Cable,Accessories,1,16.0,5.04
2026-02-07,Backpack,Bags,3,49.96,27.62
2026-08-27,Wireless Mouse,Electronics,6,23.55,11.7
2026-01-27,Notebook,Stationery,7,8.76,3.07
2026-08-25,Water Bottle,Home,3,21.9,8.25
2026-08-14,Backpack,Bags,1,51.47,29.19
2026-07-20,Backpack,Bags,4,52.43,28.8
2026-01-28,Backpack,Bags,1,58.94,27.22
2026-07-29,Phone Stand,Accessories,6,17.3,7.21
2026-02-28,Water Bottle,Home,1,20.64,7.92
2026-03-13,Keyboard,Electronics,5,43.66,22.02
2026-06-23,Headphones,Electronics,6,76.15,36.54
2026-03-08,USB-C Cable,Accessories,5,13.61,5.05
2026-03-30,Notebook,Stationery,7,8.17,3.0
2026-04-09,Coffee Mug,Home,4,13.31,6.13
2026-01-01,Headphones,Electronics,4,68.1,36.37
2026-06-20,Notebook,Stationery,6,8.26,2.89
2026-08-19,Desk Lamp,Home,5,36.17,16.7
2026-06-28,Desk Lamp,Home,3,32.84,17.28
2026-04-08,USB-C Cable,Accessories,5,14.72,5.17
2026-03-19,Desk Lamp,Home,4,34.51,17.14
2026-06-17,Notebook,Stationery,8,7.91,3.05
2026-05-11,Phone Stand,Accessories,3,18.57,6.85
2026-06-19,Coffee Mug,Home,6,12.86,6.27
2026-03-02,Desk Lamp,Home,4,37.15,16.4
2026-01-12,Water Bottle,Home,8,20.45,8.21
2026-04-27,Backpack,Bags,4,57.4,27.68
2026-04-13,Water Bottle,Home,3,20.62,7.6
2026-07-12,Keyboard,Electronics,7,42.47,22.67
2026-06-28,Headphones,Electronics,8,63.7,37.05
2026-08-06,Keyboard,Electronics,8,41.7,21.92
2026-05-16,Headphones,Electronics,6,76.3,39.49
2026-06-06,Headphones,Electronics,7,74.63,38.18
2026-08-18,USB-C Cable,Accessories,8,14.85,5.13
2026-08-04,Desk Lamp,Home,8,35.89,16.62
2026-01-20,Desk Lamp,Home,4,33.4,16.69
2026-05-19,Keyboard,Electronics,3,41.86,21.74
2026-02-09,Water Bottle,Home,2,19.66,7.86
2026-04-30,Backpack,Bags,1,51.78,27.78
2026-08-20,Coffee Mug,Home,1,15.0,6.16
2026-04-08,Phone Stand,Accessories,1,19.59,6.86
2026-04-10,Backpack,Bags,4,54.87,27.36
2026-05-05,Wireless Mouse,Electronics,7,24.18,12.21
2026-04-14,USB-C Cable,Accessories,8,16.26,5.24
2026-05-17,Wireless Mouse,Electronics,7,25.46,12.2
2026-01-22,Backpack,Bags,3,59.04,27.11
2026-03-08,Backpack,Bags,6,51.83,27.52
2026-07-14,Backpack,Bags,5,57.77,28.93
2026-03-06,Keyboard,Electronics,8,40.67,22.09
2026-03-31,Water Bottle,Home,2,21.12,8.12
2026-07-13,Wireless Mouse,Electronics,4,23.5,11.42
2026-02-09,Water Bottle,Home,3,19.89,7.69
2026-08-31,Water Bottle,Home,8,20.8,8.21
2026-02-12,Coffee Mug,Home,2,14.78,5.8
2026-03-21,Keyboard,Electronics,1,48.86,22.17
2026-08-21,Backpack,Bags,7,59.86,27.16
2026-06-01,Water Bottle,Home,2,20.79,7.84
2026-06-25,Coffee Mug,Home,2,14.83,6.04
2026-01-11,Notebook,Stationery,7,8.26,2.87
2026-06-15,Notebook,Stationery,1,8.56,3.1
2026-01-28,Backpack,Bags,6,56.49,28.92
2026-07-01,USB-C Cable,Accessories,7,14.03,5.01
2026-06-16,Desk Lamp,Home,8,34.75,17.55
2026-06-01,Desk Lamp,Home,6,37.46,17.56
2026-01-23,Desk Lamp,Home,8,33.21,16.94
2026-06-06,Backpack,Bags,6,49.82,28.98
2026-02-16,Phone Stand,Accessories,4,17.48,6.83
2026-03-13,Coffee Mug,Home,5,14.16,6.01
